City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,13.99,70,35,4.41,SH,1734335112
1,whitehorse,60.7161,-135.0538,-12.57,84,75,6.71,CA,1734334533
2,waitangi,-43.9535,-176.5597,16.57,96,100,1.79,NZ,1734335114
3,lashio,22.9333,97.75,25.05,46,0,1.39,MM,1734335115
4,nishinoomote,30.7333,131.0,12.31,66,75,5.14,JP,1734335116
5,ribeira grande,38.5167,-28.7,17.22,88,75,3.09,PT,1734335117
6,georgetown,5.4112,100.3354,30.97,67,20,3.09,MY,1734335119
7,anadyr,64.75,177.4833,-6.72,79,100,8.0,RU,1734335120
8,ngorongoro,-3.2397,35.4875,20.11,57,74,1.11,TZ,1734335121
9,ta`u,-14.2336,-169.5144,26.53,81,20,3.37,AS,1734335122
10,turuntayevo,52.2,107.6167,-9.55,96,25,0.29,RU,1734335123
11,moab,38.5733,-109.5498,1.38,43,4,0.91,US,1734334831
12,uturoa,-16.7333,-151.4333,26.59,80,100,4.28,PF,1734335125
13,yasuj,30.6682,51.588,1.75,48,0,0.0,IR,1734335126
14,adamstown,-25.066,-130.1015,22.24,69,35,2.7,PN,1734335127
15,college,64.8569,-147.8028,-21.97,80,100,2.06,US,1734334983
16,grytviken,-54.2811,-36.5092,3.61,74,100,1.78,GS,1734335130
17,yellowknife,62.456,-114.3525,-21.71,77,100,4.12,CA,1734335080
18,kaoma,-14.7833,24.8,30.22,39,12,4.09,ZM,1734335132
19,jamestown,42.097,-79.2353,2.23,98,100,2.68,US,1734335133
20,iqaluit,63.7506,-68.5145,-13.15,78,100,10.29,CA,1734335134
21,puerto armuelles,8.2833,-82.8667,22.27,88,35,1.34,PA,1734335135
22,tamanrasset,22.785,5.5228,13.95,10,0,2.57,DZ,1734335136
23,derzhavinsk,51.1,66.3167,-8.39,91,100,9.65,KZ,1734335137
24,lebu,-37.6167,-73.65,13.01,89,100,3.95,CL,1734335138
25,sarmiento,-45.5882,-69.07,19.09,38,63,1.27,AR,1734335141
26,katsuura,35.1333,140.3,10.67,60,64,4.31,JP,1734335142
27,sola,-13.8833,167.55,27.51,80,100,4.53,VU,1734335143
28,sosnovo-ozerskoye,52.5249,111.5418,-20.24,99,5,1.17,RU,1734335144
29,ushuaia,-54.8,-68.3,6.81,57,0,4.12,AR,1734334962
30,chonchi,-42.6128,-73.8092,11.18,92,28,0.98,CL,1734335146
31,gbadolite,4.2833,21.0167,31.35,29,100,2.58,CD,1734335147
32,ust-nera,64.5667,143.2,-28.37,96,96,1.64,RU,1734335148
33,strathalbyn,-35.2667,138.9,25.47,57,94,6.5,AU,1734335149
34,tiksi,71.6872,128.8694,-21.89,99,100,3.2,RU,1734335150
35,piacabucu,-10.4056,-36.4344,24.57,91,60,2.7,BR,1734335152
36,cole harbour,44.6724,-63.4751,-4.48,81,11,2.92,CA,1734335153
37,mata-utu,-13.2816,-176.1745,27.77,73,17,1.24,WF,1734335154
38,haiku-pauwela,20.9219,-156.3051,22.36,71,40,4.63,US,1734335156
39,bikin,46.8161,134.26,-18.62,92,78,1.56,RU,1734335157
40,pyrgos,37.6751,21.441,12.22,67,0,1.48,GR,1734335158
41,margate,51.3813,1.3862,9.93,82,98,0.45,GB,1734335159
42,launceston,-41.45,147.1667,27.8,54,50,5.14,AU,1734335049
43,polyarnyy,69.1989,33.4478,-13.52,79,100,4.86,RU,1734335162
44,tura,25.5198,90.2201,25.51,27,0,1.93,IN,1734335163
45,codrington,-38.2667,141.9667,19.37,75,93,7.39,AU,1734335164
46,happy valley-goose bay,53.3168,-60.3315,-2.83,50,75,5.66,CA,1734335165
47,albany,42.6001,-73.9662,0.15,77,100,0.89,US,1734335166
48,susuman,62.7833,148.1667,-28.99,99,79,1.22,RU,1734335167
49,flying fish cove,-10.4217,105.6791,29.82,74,20,3.6,CX,1734335168
50,port-aux-francais,-49.35,70.2167,4.87,77,10,12.69,TF,1734335169
51,celeyke,38.0597,37.1879,0.12,79,100,1.74,TR,1734335170
52,llallagua,-18.4167,-66.6333,6.93,71,100,2.3,BO,1734335172
53,st. john's,47.5649,-52.7093,-1.13,85,75,5.66,CA,1734335173
54,chignahuapan,19.8333,-98.0333,7.13,96,24,0.65,MX,1734335174
55,port mathurin,-19.6833,63.4167,25.58,72,40,7.06,MU,1734335175
56,cozumel,20.5083,-86.9458,23.3,88,1,4.05,MX,1734335176
57,port augusta,-32.5,137.7667,27.19,60,94,9.66,AU,1734335177
58,vernon,50.2581,-119.2691,0.74,86,29,3.6,CA,1734335152
59,korla,41.7597,86.1469,-5.5,72,100,4.3,CN,1734335179
60,olonkinbyen,70.9221,-8.7187,-1.51,81,100,7.93,SJ,1734335180
61,kapuskasing,49.4169,-82.4331,-1.95,93,100,4.63,CA,1734335181
62,banda aceh,5.5577,95.3222,28.57,76,100,3.38,ID,1734335183
63,ferkessedougou,9.6,-5.2,22.64,15,0,2.42,CI,1734335185
64,carnarvon,-24.8667,113.6333,28.18,48,0,9.8,AU,1734335186
65,puerto natales,-51.7236,-72.4875,9.47,96,100,1.64,CL,1734335187
66,ha tinh,18.3333,105.9,16.35,70,80,3.04,VN,1734335188
67,ambon,-3.6954,128.1814,31.24,100,40,1.03,ID,1734335189
68,iskateley,67.6803,53.1512,-20.4,87,34,5.35,RU,1734335190
